Alfred Wegener Institute, Germany
Contact: Sandra.Tippenhauer@awi.de
Instrument: SBE911plus
Ship: Polarstern
Cruise: PS122
Leg 4
Accuracy for salinity and conductivity = 0.004
Accuracy for temperature = 0.002
Quality control flagging scheme: https://www.seadatanet.org
Event Label	Date/Time	Lat	Lon	Sensor channel used temp/cond	Sensor channel used oxy	Altimeter [m]	Water depth [m]	Water depth Info
PS122/4_44-183	2020-06-27T09:06:48	81.9633	9.9118	 1	 2	NaN	869.00	Waterdepth from GEBCO
PS122/4_44-184	2020-06-27T10:08:54	81.9578	9.9078	 1	 2	15.24	913.60	Waterdepth = CTD-Z + ALTI
PS122/4_44-187	2020-06-27T14:37:30	81.9308	9.8268	 1	 2	NaN	861.00	Waterdepth from GEBCO
PS122/4_44-202	2020-06-28T11:11:14	81.8805	9.4928	 1	 2	20.87	820.70	Waterdepth = CTD-Z + ALTI
PS122/4_44-67	2020-06-16T07:07:00	82.2268	8.2895	 1	 2	14.18	764.71	Waterdepth = CTD-Z + ALTI
PS122/4_44-76	2020-06-16T12:33:26	82.1907	8.3127	 1	 2	NaN	753.00	Waterdepth from GEBCO
PS122/4_45-3	2020-06-29T07:39:00	81.8287	9.1812	 1	 2	24.49	806.58	Waterdepth = CTD-Z + ALTI
PS122/4_45-9	2020-06-30T07:46:38	81.7987	8.9803	 1	 2	22.18	803.28	Waterdepth = CTD-Z + ALTI
PS122/4_45-31	2020-07-01T06:31:47	81.7712	8.8915	 1	 2	16.26	796.38	Waterdepth = CTD-Z + ALTI
PS122/4_45-48	2020-07-01T13:19:48	81.7643	8.8620	 1	 2	NaN	816.00	Waterdepth from GEBCO
PS122/4_45-53	2020-07-02T06:42:11	81.7480	8.6200	 1	 2	29.87	811.96	Waterdepth = CTD-Z + ALTI
PS122/4_45-72	2020-07-03T10:10:52	81.6723	7.6400	 1	 2	26.36	841.96	Waterdepth = CTD-Z + ALTI
PS122/4_45-73	2020-07-03T10:57:35	81.6713	7.5843	 1	 2	28.48	847.03	Waterdepth = CTD-Z + ALTI
PS122/4_45-74	2020-07-03T11:40:56	81.6713	7.5355	 1	 2	20.00	827.71	Waterdepth = CTD-Z + ALTI
PS122/4_45-75	2020-07-03T12:21:55	81.6722	7.4930	 1	 2	21.96	827.70	Waterdepth = CTD-Z + ALTI
PS122/4_45-76	2020-07-03T14:45:12	81.6775	7.3678	 1	 2	18.85	798.96	Waterdepth = CTD-Z + ALTI
PS122/4_45-77	2020-07-03T15:28:37	81.6785	7.3390	 1	 2	18.50	792.70	Waterdepth = CTD-Z + ALTI
PS122/4_45-78	2020-07-03T16:08:46	81.6790	7.3107	 1	 2	28.98	801.21	Waterdepth = CTD-Z + ALTI
PS122/4_45-79	2020-07-03T16:54:32	81.6797	7.2767	 1	 2	20.39	780.80	Waterdepth = CTD-Z + ALTI
PS122/4_45-80	2020-07-03T19:41:52	81.6828	7.1502	 1	 2	16.20	779.56	Waterdepth = CTD-Z + ALTI
PS122/4_45-81	2020-07-03T20:29:17	81.6845	7.1182	 1	 2	12.32	744.14	Waterdepth = CTD-Z + ALTI
PS122/4_45-82	2020-07-03T21:10:16	81.6865	7.0903	 1	 2	13.17	744.98	Waterdepth = CTD-Z + ALTI
PS122/4_45-83	2020-07-03T23:36:47	81.6977	7.0073	 1	 2	12.63	731.63	Waterdepth = CTD-Z + ALTI
PS122/4_45-84	2020-07-04T00:19:59	81.7015	6.9942	 1	 2	12.04	769.49	Waterdepth = CTD-Z + ALTI
PS122/4_45-85	2020-07-04T01:01:11	81.7052	6.9857	 1	 2	14.27	782.56	Waterdepth = CTD-Z + ALTI
PS122/4_45-88	2020-07-04T03:16:12	81.7118	6.9730	 1	 2	10.10	762.62	Waterdepth = CTD-Z + ALTI
PS122/4_45-94	2020-07-04T03:56:33	81.7125	6.9698	 1	 2	9.63	743.41	Waterdepth = CTD-Z + ALTI
PS122/4_45-95	2020-07-04T04:45:04	81.7127	6.9638	 1	 2	18.41	759.10	Waterdepth = CTD-Z + ALTI
